TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,L6_Z_MATCH_BIN,144_LUM,EDR?,JNAME,ra_x,dec_x,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,angDist,objID,RAJ2000,DEJ2000,errHalfMaj_x,errHalfMin_x,errPosAng_x,cell,sky,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch,Ns,Nd,Ng,Nr,Ni,Nz,Ny,gPSFf,gmag,e_gmag,gmagStd,o_gmag,b_gmag_x,B_gmag_xa,gKmag,e_gKmag,gFlags,rPSFf,rmag,e_rmag,rmagStd,o_rmag,b_rmag_x,B_rmag_xa,rKmag,e_rKmag,rFlags,iPSFf,imag,e_imag,imagStd,o_imag,b_imag_x,B_imag_xa,iKmag,e_iKmag,iFlags,zPSFf,zmag,e_zmag,zmagStd,o_zmag,b_zmag_x,B_zmag_xa,zKmag,e_zKmag,zFlags,yPSFf,ymag,e_ymag,ymagStd,o_ymag,b_ymag_x,B_ymag_xa,yKmag,e_yKmag,yFlags,angDist_x,RAJ2000_x,DEJ2000_x,name,objid_x,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr_x,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,w_NUV,w_FUV,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd_x,primidd,groupidd,grouptot,OName,Size,angDist_xa
39628495638235816,127.92744020980729,30.83000373741475,1.0842689916278971,QSO,0.07658406036218124,0.005691981519524244,2.9530544067122057E-5,45.06217300562458,,0.0,true,J083142.58+304948.1,127.92743,30.830031,0.221,0.202,88.0,15.609,14.302,11.522,8.496,,,,0.048,0.053,0.151,,,,,1286130201241033172,0000,0,11nn,AABU,,0.10245,144991279274286666,127.92743827829,30.83000491131,0.004,0.004,0.0,1958,74,436527256,52,0.00405501744,0.00407944473,55997.968649501,5,56,9,5,12,17,13,0.999619,20.0534,0.0219,0.0827,8,19.923,20.1765,20.1374,0.0435,115000,0.999816,19.5749,0.0175,0.0602,5,19.5347,19.6826,19.6768,0.042,115000,0.999682,19.5925,0.0257,0.0875,11,19.4386,19.6973,19.6245,0.0493,115000,0.999435,19.6805,0.0218,0.1113,16,19.5793,19.9724,19.6931,0.0333,115000,0.999321,19.4667,0.0455,0.2372,13,19.1591,19.8164,19.542,0.0687,115000,0.007315,127.927602,30.830139,GALEX J083142.6+304948,6378480459911791660,6378480459910742016,AIS,127.981453,31.102773,221.0,221.0,192.4703,33.8824,50215,1921,60,0.276516,true,1,0.0491,0,0,,,20.953,0.1756,,,0.873,0.1756,,,1.1503,0.1706,,,0.8606,0.2002,0,0,0,0,,,15.0933,2.44112,,,2034.61,1252.53,,4.269,,0.002,0.9824,0.0,0.2411,,46.76,42.98,,,9.52405,5.02179,4.5949,7.61E-4,5.77E-4,,,,168.6,197.6,,,0.67,,,0.27,,C,0,1,6378480459911791616,6378480459911791660,0,1,6378480459911791616,6378480459911791660,6378480459911791660,N,0.0,0.69906
39632951809411591,250.7208316168323,33.554353247146146,0.9017248712118887,QSO,0.1606083253991426,0.006919918478202801,3.4871010956394705E-5,45.03569175949871,,4.415174317139238E23,true,J164253.00+333315.7,250.720854,33.554378,0.139,0.133,93.0,14.879,13.706,10.981,9.059,,,,0.034,0.036,0.081,0.439,,,,2501133301241032699,0000,0,111n,AAAC,,0.112185,148262507208205816,250.72082864459,33.55435172304,0.003,0.003,0.0,2062,35,436527256,52,0.00287403672,0.00288431184,55875.690897137,5,104,21,18,29,21,15,0.999561,20.162,0.017,0.0676,17,20.0329,20.2863,20.2226,0.0227,115000,0.999242,20.0042,0.0209,0.1524,15,19.8771,20.4998,20.056,0.0317,115000,0.999297,19.9762,0.0266,0.1525,25,19.7136,20.2346,20.0028,0.0365,115000,0.999626,19.7339,0.0269,0.1424,20,19.5589,20.0023,19.7511,0.0478,115000,0.999662,19.4418,0.0391,0.1535,14,19.2284,19.7325,19.3435,0.0883,115000,0.01047,250.720687,33.554812,GALEX J164252.9+333317,6371478729063925571,6371478729062875136,AIS,250.416458,33.665104,129.0,129.0,55.2576,40.2849,50016,705,22,0.276334,true,1,0.0248,0,0,,,20.6699,0.216,,,0.5899,0.216,,,0.9588,0.1967,,,0.6514,0.2217,0,0,0,0,,,19.5902,3.89631,,,1265.2,1641.58,,7.939,,0.003,0.9789,0.0,0.3455,,26.47,25.98,,,8.36089,24.7831,4.85481,9.71E-4,6.36E-4,,,,102.0,125.1,,,0.86,,,0.33,,C,0,1,6371478729063925760,6371478729063925571,0,1,6371478729063925760,6371478729063925571,6371478729063925571,N,0.0,1.707566
39632951813604072,250.90427824959045,33.52476345445544,1.4369918475733663,QSO,-0.007125536168451296,0.005793474214433582,3.1651699747982843E-5,45.073609764704905,,0.0,true,J164337.04+333129.0,250.904355,33.524741,0.466,0.426,88.0,16.682,15.342,12.151,8.872,,,,0.097,0.101,0.237,,,,,2501133301241034813,0000,0,11nn,AABU,,0.243653,148232509042490245,250.90427261595,33.52476124606,0.003,0.003,0.0,2062,35,436527248,52,0.00327141014,0.00330444236,56042.841963401,5,72,16,17,23,13,3,0.999338,20.3516,0.0186,0.0645,16,20.2323,20.4523,20.5005,0.0201,115000,0.999224,20.0134,0.013,0.1237,17,19.9399,20.4105,20.1296,0.0225,115000,0.999464,19.8855,0.0146,0.0958,19,19.8154,20.1112,20.0219,0.0324,115000,0.999409,20.0358,0.0205,0.0699,10,19.8761,20.1519,20.076,0.0637,115000,0.997814,19.7615,0.1462,0.2919,3,19.3761,19.8976,19.8055,0.2459,115000,0.018683,250.904165,33.525215,GALEX J164336.9+333130,6371478729063925401,6371478729062875136,AIS,250.416458,33.665104,129.0,129.0,55.2505,40.1292,50016,705,22,0.429654,true,1,0.0216,0,0,,,22.4863,0.4753,,,2.4063,0.4753,,,2.3597,0.5223,,,2.2815,0.8206,256,0,0,0,,,3.67695,1.60936,,,897.87,1572.03,,6.614,,0.003,0.8816,0.0,0.4737,,77.48,77.63,,,0.0,64.4258,3.5,6.36E-4,3.34E-4,,,,106.2,94.7,,,1.54,,,0.56,,C,0,1,6371478729063925760,6371478729063925401,0,1,6371478729063925760,6371478729063925401,6371478729063925401,N,0.0,1.660028
39632951834576132,252.43294707700835,33.52123704057469,1.4095940081477802,QSO,-0.03408492499645821,0.006919038692644825,2.5843187965361645E-5,45.256627599682666,,0.0,true,J164943.87+333116.3,252.432818,33.521219,0.23,0.215,85.0,15.791,14.495,11.614,9.269,,,,0.051,0.052,0.138,,,,,2519133301241032081,0000,0,00nn,AABU,,0.392489,148222524329076070,252.43294609099,33.52123656513,0.002,0.002,0.0,2062,32,436527256,52,0.00196476586,0.00206307524,56009.815062613,5,62,12,15,18,9,8,0.999681,19.0926,0.0142,0.0428,7,19.0468,19.1761,19.2233,0.0264,115000,0.999138,18.8868,0.0128,0.0565,13,18.8088,19.0088,18.9829,0.0188,115000,0.999511,18.7596,0.0111,0.0419,12,18.6819,18.8252,18.8871,0.0179,115000,0.998805,18.7786,0.0233,0.0487,9,18.7115,18.8543,18.8635,0.0216,115000,0.999407,18.8649,0.0169,0.0542,8,18.7746,18.9508,18.967,0.0714,115000,0.003419,252.433044,33.521584,GALEX J164943.9+333117,6371478726918539041,6371478726915391488,AIS,252.526638,33.671686,148.0,149.0,55.5147,38.871,50016,641,20,0.16914,true,3,0.0243,0,0,21.7034,0.3577,20.0286,0.1244,2.8834,0.3577,-0.0514,0.1244,2.7945,0.3296,0.0878,0.1172,2.7625,0.4147,-0.0239,0.1351,0,0,0,0,7.56228,2.4908,35.3628,4.04975,2125.2,1538.27,2125.16,1539.42,6.832,5.609,0.003,0.002,0.9725,0.9956,0.253,0.0727,9.19,9.51,81.42,81.33,10.0203,2.04832,3.5,0.001051,7.85E-4,4.01286,4.95E-4,4.59E-4,112.6,138.3,0.202,1.73,0.62,1.14,0.97,0.22,0.19,C,0,1,6371478726918539264,6371478726918539041,0,1,6371478726918539264,6371478726918539041,6371478726918539041,N,0.0,1.283007
39632951842964973,253.05120005247198,33.43416449000004,0.8111059021725792,QSO,0.019950064137790546,0.0,1.2903754255731469E-5,45.248295239216475,,0.0,true,J165212.28+332603.0,253.051194,33.434167,0.1,0.096,124.0,14.046,12.854,10.313,8.369,17.093,16.49,15.735,0.027,0.027,0.051,0.263,0.204,0.292,0.211,2537133301241024286,0000,0,001n,AAAB,0.618,0.018627,148122530511831576,253.05119864797,33.43416744604,0.001,0.001,0.0,2062,30,503636120,60,0.00103226299,0.00103504439,55884.281955259,5,79,12,15,18,19,15,0.99919,18.3468,0.0056,0.0239,11,18.3023,18.3877,18.4264,0.0074,115000,0.999634,18.2743,0.0084,0.0352,13,18.2368,18.3559,18.3385,0.0111,115000,0.999232,18.3119,0.0117,0.0461,14,18.2365,18.3975,18.3777,0.0131,115000,0.999708,18.1862,0.0095,0.047,18,18.1107,18.2792,18.258,0.015,115000,0.999248,18.3367,0.0233,0.0996,14,18.1811,18.4865,18.3496,0.0271,115000,0.011448,253.051398,33.434002,GALEX J165212.3+332602,6371478725844797293,6371478725841649664,AIS,253.632834,33.678181,233.0,336.05,55.5175,38.3479,50016,609,19,0.542584,true,3,0.0234,0,0,19.7728,0.1142,18.797,0.0368,0.9528,0.1142,-1.283,0.0368,1.0026,0.116,-1.0867,0.0388,0.9226,0.1184,-1.2508,0.0378,256,145,0,0,44.7595,4.7048,109.949,3.72792,3033.12,1353.64,3032.8,1353.57,5.853,4.186,0.002,0.002,0.9832,0.9663,0.274,0.1222,57.26,56.81,-23.73,-23.87,14.9972,2.99441,3.5,0.001223,8.88E-4,3.5,7.97E-4,7.0E-4,286.1,157.5,0.803,0.34,0.49,0.7,0.55,0.09,0.08,C,1,2,6371478725844797440,6371478725844797293+6371478726918538563,1,2,6371478725844797440,6371478725844797293+6371478726918538563,6371478725844797293+6371478726918538563,N,0.0,0.833885
39632951847159097,253.3439063163414,33.547468325215775,1.3607774877152194,QSO,-0.02165942597164977,0.0033108572478923346,2.799956054164114E-5,45.12366787132587,,0.0,true,J165322.53+333251.0,253.343911,33.547515,0.372,0.343,82.0,16.237,15.087,12.119,8.674,,,,0.075,0.088,0.246,,,,,2537133301241028057,0000,0,00nn,AABU,,0.167811,148252533439137549,253.34390406074,33.54746988902,0.003,0.003,0.0,2062,30,436527256,52,0.00320127828,0.00323240857,55676.904518825,5,68,13,14,18,16,7,0.999725,20.0442,0.0247,0.071,9,19.9377,20.1339,20.1888,0.035,115000,0.999692,20.0163,0.0712,0.2372,13,19.6085,20.1436,20.1729,0.0526,115000,0.999546,19.625,0.0229,0.0921,12,19.5252,19.8137,19.7489,0.0357,115000,0.999425,19.8168,0.0201,0.101,14,19.7119,19.9793,19.895,0.0534,115000,0.998821,19.7679,0.1107,0.1684,7,19.5757,20.0104,19.6222,0.0988,115000,0.008803,253.343733,33.547418,GALEX J165322.4+333250,6371478725844797994,6371478725841649664,AIS,253.632834,33.678181,233.0,336.05,55.7139,38.1277,50016,609,19,0.273981,true,3,0.023,0,0,22.282,0.3487,20.9008,0.1206,3.462,0.3487,0.8208,0.1206,3.4023,0.3562,0.8788,0.1076,3.8201,0.7114,0.8404,0.1471,0,0,0,0,4.43833,1.42513,15.8371,1.75888,2446.37,1623.81,2446.58,1623.47,3.841,4.631,0.002,0.002,0.9833,0.9401,0.2459,0.3946,-44.73,-45.53,-12.19,-12.34,5.95536,1.52182,3.5,8.9E-4,6.71E-4,3.5,5.64E-4,3.42E-4,270.6,206.4,0.837,0.66,0.6,1.29,1.08,0.22,0.25,C,0,1,6371478725844798464,6371478725844797994,0,1,6371478725844798464,6371478725844797994,6371478725844797994,N,0.0,0.550496
39632951851352589,253.59018404133818,33.51622403202074,0.7721666815722311,QSO,0.19994248917640045,0.0,2.6015585475438636E-5,44.33778931787726,,0.0,true,J165421.63+333058.4,253.590141,33.516229,0.271,0.249,82.0,15.827,14.784,12.332,8.757,,,,0.054,0.068,0.27,,,,,2537133301241027954,0000,0,00nn,AABU,,0.13151,148222535902130035,253.59018116153,33.51622398001,0.004,0.003,0.0,2063,39,436527248,52,0.00349326118,0.0035316793,55717.452553056,5,75,20,16,17,13,9,0.999813,20.2361,0.0128,0.0677,14,20.0598,20.3382,20.3224,0.0384,115000,0.999438,20.1212,0.0226,0.167,11,20.0546,20.4484,20.2631,0.0364,115000,0.999686,20.0738,0.0323,0.111,16,19.9612,20.3137,20.1149,0.0441,115000,0.998945,19.842,0.0176,0.059,9,19.7744,19.9471,19.8107,0.0363,115000,0.999083,19.81,0.0584,0.1917,8,19.4492,19.9452,19.6907,0.0969,115000,0.008646,253.59034,33.516126,GALEX J165421.6+333058,6371478725844797760,6371478725841649664,AIS,253.632834,33.678181,233.0,336.05,55.7207,37.9198,50016,609,19,0.165875,true,3,0.0252,0,0,22.1999,0.3319,21.3707,0.1686,3.3799,0.3319,1.2907,0.1686,3.2587,0.3184,1.1953,0.134,3.379,0.494,1.5062,0.2601,0,0,0,0,4.78661,1.46287,10.2735,1.59518,1952.85,1548.52,1953.32,1547.7,3.869,3.214,0.002,0.001,0.9822,0.9562,0.0525,0.2544,-50.75,-50.44,66.76,66.77,6.75055,2.42847,3.5,7.21E-4,6.83E-4,3.6175,5.24E-4,3.9E-4,256.5,208.9,0.386,1.47,0.62,1.25,1.05,0.24,0.24,C,0,1,6371478725844797440,6371478725844797760,0,1,6371478725844797440,6371478725844797760,6371478725844797760,N,0.0,0.586805
39632951851354013,253.67936258077185,33.53027295033624,1.7010398018660216,QSO,-0.009156691042119136,0.0,2.594251550470734E-5,45.64590960764207,,0.0,true,J165443.02+333148.7,253.679288,33.530217,0.374,0.335,83.0,16.323,15.214,11.912,8.645,,,,0.072,0.092,0.213,,,,,2537133301241029766,0000,0,01nn,AABU,,0.29954,148232536793556940,253.67935988463,33.53027201976,0.003,0.003,0.0,2063,39,436527256,52,0.00262690683,0.00268046982,55738.284821539,5,71,12,14,14,17,14,0.999467,19.4626,0.0379,0.157,10,19.3821,19.7099,19.5962,0.0397,115000,0.999725,19.7068,0.0269,0.1081,9,19.4537,19.8064,19.7698,0.0536,115000,0.999392,19.4494,0.0215,0.0974,13,19.2883,19.6203,19.5011,0.0228,115000,0.999526,19.4104,0.0241,0.0832,15,19.2756,19.5791,19.4321,0.0367,115000,0.999294,19.576,0.0877,0.2397,12,19.1709,19.9214,19.625,0.144,115000,0.008757,253.679347,33.530334,GALEX J165443.0+333149,6371478725842700704,6371478725841649664,AIS,253.632834,33.678181,233.0,336.05,55.7552,37.8493,50016,609,19,0.152839,true,1,0.0232,0,0,,,20.9993,0.1281,,,0.9193,0.1281,,,0.9675,0.1174,,,0.9607,0.1671,0,0,0,0,,,14.4631,1.70643,,,1775.25,1581.85,,5.179,,0.002,0.9829,0.0,0.1615,,81.79,86.43,,,8.63897,3.26887,3.5,7.71E-4,6.46E-4,,,,255.8,213.9,,,0.59,,,0.2,,C,0,1,6371478725842700288,6371478725842700704,0,1,6371478725842700288,6371478725842700704,6371478725842700704,N,0.0,0.223363
39632951855548751,254.0104633353349,33.40875224031818,0.9270184326689764,QSO,0.0847577401275611,0.0,1.6103201269084388E-5,44.625380239125306,2,0.0,true,J165602.57+332432.7,254.010723,33.409095,0.511,0.452,83.0,16.495,15.393,12.402,9.094,,,,0.098,0.118,0.348,,,,,2537133301241019667,0000,0,01nn,ABBU,,1.459234,148092540104811114,254.01046789024,33.40874806154,0.006,0.006,90.0,2063,38,436527248,52,0.00584794437,0.00584794437,55791.128791686,5,60,16,15,13,14,2,0.999637,20.7257,0.027,0.094,14,20.63,20.9388,20.7865,0.0464,115000,0.999436,20.5084,0.0209,0.0834,11,20.4483,20.7067,20.5686,0.0279,115000,0.999772,20.4856,0.0304,0.1233,9,20.3874,20.7724,20.695,0.0481,115000,0.999685,20.5096,0.0356,0.1999,13,20.3498,21.0248,20.4516,0.055,115000,0.998736,20.007,0.0289,0.0409,2,19.9767,20.0345,,,115000,0.020339,254.010572,33.408568,GALEX J165602.5+332430,6371478725844797046,6371478725841649664,AIS,253.632834,33.678181,233.0,336.05,55.6666,37.5556,50016,609,19,0.4145,true,3,0.0289,0,0,22.585,0.3987,21.9915,0.2302,3.765,0.3987,1.9115,0.2302,3.5903,0.4081,1.8744,0.2027,4.1061,0.9051,1.9562,0.3638,0,0,0,0,3.35724,1.23264,5.79957,1.2291,1111.49,1291.75,1111.44,1291.13,5.045,6.013,0.002,0.003,0.9784,0.8773,0.2372,0.2743,88.72,-89.79,-89.47,-89.26,6.44247,2.86036,3.5,6.8E-4,5.19E-4,3.79683,4.15E-4,3.01E-4,269.1,205.9,0.776,0.91,0.73,1.47,1.28,0.32,0.31,C,0,1,6371478725844797440,6371478725844797046,0,1,6371478725844797440,6371478725844797046,6371478725844797046,N,0.0,0.739764
39632955001276499,118.6649145890288,33.761258304070815,1.6146852314306457,QSO,-0.003939480896905101,0.0,2.7701118170148442E-5,45.33905931586286,1,0.0,true,J075439.56+334540.7,118.664858,33.761311,0.366,0.331,87.0,16.018,14.955,11.868,8.823,,,,0.071,0.091,0.253,0.401,,,,1187133301241027979,0000,0,10nn,AABC,,0.252493,148511186648994115,118.66491605895,33.76125809169,0.003,0.003,0.0,2034,44,436527256,52,0.00284803894,0.00291136583,56450.6767656,5,67,13,18,16,12,8,0.999705,19.8716,0.03,0.1279,12,19.7733,20.1317,19.9825,0.0398,115000,0.999723,19.6704,0.0275,0.1099,13,19.4406,19.8435,19.7263,0.0279,115000,0.999622,19.2897,0.0179,0.1153,12,19.2149,19.4954,19.3708,0.0312,115000,0.999629,19.4896,0.025,0.1167,12,19.2495,19.6033,19.6199,0.0386,115000,0.998869,19.5507,0.05,0.1167,8,19.409,19.7138,19.6892,0.0551,115000,0.004465,118.664801,33.76163,GALEX J075439.5+334541,6374047192521376292,6374047192520327168,AIS,118.966676,34.153422,110.0,110.0,186.8626,27.0608,50089,833,26,0.464969,true,1,0.048,0,0,,,21.963,0.3993,,,1.8829,0.3993,,,2.1191,0.5185,,,1.9128,0.7265,0,1,0,0,,,5.95414,2.18911,,,2481.02,969.45,,6.751,,0.003,0.9554,0.0,0.4845,,-67.25,-67.22,,,0.0,36.6335,3.5,6.9E-4,3.55E-4,,,,91.3,102.2,,,1.64,,,0.6,,C,0,1,6374047192521376768,6374047192521376292,0,1,6374047192521376768,6374047192521376292,6374047192521376292,N,0.0,1.379662
