wave,obj,sky,noise,s2n
3150.0,14.2873,0.0,12.6032,1.0658743
3160.0,14.2873,0.0,12.6032,1.0658744
3170.0,14.2873,25.697,12.6032,0.99440333
3180.0,14.2873,36.6663,12.6032,0.96798578
3190.0,14.2873,32.695,12.6032,0.97730502
3200.0,14.2873,38.711,12.6032,0.96329031
3210.0,14.6864,41.674,12.6032,0.98245507
3220.0,15.0968,58.0292,12.6032,0.97266454
3230.0,14.4516,52.3421,12.6032,0.94405254
3240.0,14.1047,25.3584,12.6032,0.98296993
3250.0,14.0845,18.6498,12.6032,0.99870411
3260.0,14.3364,42.1477,12.6032,0.95873388
3270.0,14.8352,28.7805,12.6032,1.0232649
3280.0,15.4143,51.7557,12.6032,1.0061829
3290.0,16.1909,25.323,12.6032,1.1227858
3300.0,17.0313,49.6826,12.6032,1.11302
3310.0,17.9918,31.9893,12.6032,1.2222494
3320.0,18.9196,41.8238,12.6032,1.2533821
3330.0,19.7184,29.3166,12.6032,1.3428211
3340.0,20.694,26.981,12.6032,1.4140369
3350.0,21.5688,48.3528,12.6032,1.4001543
3360.0,22.45,26.1453,12.6032,1.530867
3370.0,23.4349,54.2688,12.6032,1.496203
3380.0,24.1195,48.1167,12.6032,1.5581911
3390.0,24.8463,47.8425,12.6032,1.6036687
3400.0,25.5256,48.3006,12.6032,1.6435534
3410.0,26.2618,31.0235,12.6032,1.754883
3420.0,26.9165,45.9685,12.6032,1.736851
3430.0,27.5387,48.7346,12.6032,1.7641848
3440.0,28.006,43.5132,12.6032,1.8126992
3450.0,28.75,29.2662,12.6032,1.9183367
3460.0,29.0789,55.1173,12.6032,1.8323305
3470.0,29.7594,39.2815,12.6032,1.9369841
3480.0,30.244,57.5981,12.6032,1.8917202
3490.0,30.8282,58.3209,12.6032,1.9232384
3500.0,31.3109,31.261,12.6032,2.0679697
3510.0,31.9945,49.932,12.6032,2.0260648
3520.0,32.5921,40.431,12.6032,2.103479
3530.0,33.2337,40.4638,12.6032,2.1418762
3540.0,33.8484,45.1688,12.6032,2.156931
3550.0,34.4723,59.774,12.6032,2.1293142
3560.0,35.2135,92.2968,12.6032,2.044328
3570.0,36.0357,73.2012,12.6032,2.1626828
3580.0,36.7824,51.4251,12.6032,2.3001902
3590.0,37.7178,42.8604,12.6032,2.3963824
3600.0,38.5365,40.9859,12.6032,2.4540167
3610.0,39.4402,52.1075,12.6032,2.4503114
3620.0,40.6354,50.6403,12.6032,2.5261858
3630.0,41.7281,54.1316,12.6032,2.5707348
3640.0,42.7646,73.4709,12.6032,2.5347183
3650.0,43.7288,123.134,12.6032,2.3809196
3660.0,44.9811,73.6652,12.6032,2.6548378
3670.0,46.2707,50.3975,12.6032,2.8470565
3680.0,47.5083,38.2277,12.6032,2.9886062
3690.0,48.8622,59.9891,12.6032,2.937386
3700.0,50.1868,68.1065,12.6032,2.9650903
3710.0,51.5515,74.4889,12.6032,3.0040099
3720.0,52.9802,52.7001,12.6032,3.2051074
3730.0,54.3596,66.0759,12.6032,3.2001481
3740.0,55.8518,68.9512,12.6032,3.2627273
3750.0,57.3642,50.872,12.6032,3.4546798
3760.0,58.8226,61.995,12.6032,3.4615967
3770.0,60.2896,51.3503,12.6032,3.6085251
3780.0,61.7568,73.981,12.6032,3.5409895
3790.0,63.2904,60.5251,12.6032,3.7057183
3800.0,64.8231,73.0728,12.6032,3.7039178
3810.0,66.3301,68.6307,12.6032,3.8094651
3820.0,67.8632,81.123,12.6032,3.8072842
3830.0,69.3785,89.9774,12.6032,3.8281656
3840.0,70.8226,76.3003,12.6032,3.9862734
3850.0,72.3416,70.4107,12.6032,4.1018547
3860.0,73.7465,67.3796,12.6032,4.1933309
3870.0,75.2689,77.5024,12.6032,4.1988026
3880.0,76.6652,47.9381,12.6032,4.4867614
3890.0,78.0133,77.6267,12.6032,4.3325688
3900.0,79.3611,83.6917,12.6032,4.3562416
3910.0,80.7556,221.017,12.6032,3.7003983
3920.0,82.0684,120.505,12.6032,4.2497683
3930.0,83.3384,83.0482,12.6032,4.5519416
3940.0,84.5869,104.373,12.6032,4.4665197
3950.0,85.8539,121.827,12.6032,4.4153386
3960.0,86.9558,103.791,12.6032,4.5803661
3970.0,88.1804,74.0277,12.6032,4.8494372
3980.0,89.3273,112.308,12.6032,4.633586
3990.0,90.4012,111.932,12.6032,4.6849974
4000.0,91.3843,152.483,12.6032,4.4829831
4010.0,92.3706,146.75,12.6032,4.5587818
4020.0,93.3633,128.225,12.6032,4.7140055
4030.0,94.3876,164.515,12.6032,4.5461354
4040.0,95.4831,165.486,12.6032,4.5877037
4050.0,96.2786,1180.2,12.6032,2.4938183
4060.0,97.3008,174.611,12.6032,4.6151365
4070.0,98.3279,174.423,12.6032,4.6594983
4080.0,99.1187,469.601,12.6032,3.6109999
4090.0,99.9748,210.776,12.6032,4.5404604
4100.0,100.766,138.528,12.6032,4.9741076
4110.0,101.574,142.439,12.6032,4.9844691
4120.0,102.4,124.6,12.6032,5.1359633
4130.0,103.193,153.183,12.6032,4.9875767
4140.0,104.039,157.88,12.6032,4.9951392
4150.0,104.694,146.422,12.6032,5.0931763
4160.0,105.494,154.077,12.6032,5.079664
4170.0,106.29,205.863,12.6032,4.8213086
4180.0,107.072,166.639,12.6032,5.0702301
4190.0,107.773,147.141,12.6032,5.2194175
4200.0,108.557,148.946,12.6032,5.241029
4210.0,109.382,173.712,12.6032,5.1243327
4220.0,110.103,151.508,12.6032,5.2897333
4230.0,110.915,169.287,12.6032,5.2137394
4240.0,111.762,238.71,12.6032,4.8744614
4250.0,112.565,338.42,12.6032,4.4835932
4260.0,113.307,202.394,12.6032,5.1216774
4270.0,114.175,151.253,12.6032,5.4614248
4280.0,114.932,173.62,12.6032,5.3523731
4290.0,115.873,170.098,12.6032,5.4122364
4300.0,116.555,179.056,12.6032,5.3855833
4310.0,117.523,217.604,12.6032,5.2066674
4320.0,118.385,208.271,12.6032,5.2910399
4330.0,119.2,207.884,12.6032,5.3252901
4340.0,119.999,211.844,12.6032,5.3348345
4350.0,120.863,336.331,12.6032,4.7908679
4360.0,121.82,4060.91,12.6032,1.8128772
4370.0,122.554,299.06,12.6032,5.0060754
4380.0,123.475,312.491,12.6032,4.9821191
4390.0,124.424,232.167,12.6032,5.3967871
4400.0,125.197,203.666,12.6032,5.5842519
4410.0,126.051,258.399,12.6032,5.3243463
