wave,obj,sky,noise,s2n
3150.0,3.97145,0.0,12.6032,0.30517274
3160.0,3.97145,0.0,12.6032,0.30517274
3170.0,3.97145,25.697,12.6032,0.28359247
3180.0,3.97145,36.6663,12.6032,0.27567863
3190.0,3.97145,32.695,12.6032,0.27846665
3200.0,3.97145,38.711,12.6032,0.27427542
3210.0,4.08241,41.674,12.6032,0.27981417
3220.0,4.19648,58.0292,12.6032,0.27670559
3230.0,4.01714,52.3421,12.6032,0.26846479
3240.0,3.92069,25.3584,12.6032,0.28025652
3250.0,3.9151,18.6498,12.6032,0.28499285
3260.0,3.98512,42.1477,12.6032,0.27289192
3270.0,4.12375,28.7805,12.6032,0.29197542
3280.0,4.28473,51.7557,12.6032,0.28656755
3290.0,4.5006,25.323,12.6032,0.32126349
3300.0,4.73422,49.6826,12.6032,0.3178468
3310.0,5.00121,31.9893,12.6032,0.35041679
3320.0,5.2591,41.8238,12.6032,0.35934277
3330.0,5.48116,29.3166,12.6032,0.38623454
3340.0,5.75233,26.981,12.6032,0.40753455
3350.0,5.9955,48.3528,12.6032,0.40263908
3360.0,6.24046,26.1453,12.6032,0.44254179
3370.0,6.51423,54.2688,12.6032,0.43103186
3380.0,6.70454,48.1167,12.6032,0.44978668
3390.0,6.90657,47.8425,12.6032,0.4634274
3400.0,7.09537,48.3006,12.6032,0.47538371
3410.0,7.30002,31.0235,12.6032,0.50986994
3420.0,7.48201,45.9685,12.6032,0.50360076
3430.0,7.65497,48.7346,12.6032,0.51171573
3440.0,7.78486,43.5132,12.6032,0.52668087
3450.0,7.99169,29.2662,12.6032,0.55973519
3460.0,8.08311,55.1173,12.6032,0.53199289
3470.0,8.27227,39.2815,12.6032,0.56474367
3480.0,8.40696,57.5981,12.6032,0.54985673
3490.0,8.56935,58.3209,12.6032,0.5593842
3500.0,8.70354,31.261,12.6032,0.60546559
3510.0,8.89357,49.932,12.6032,0.59123898
3520.0,9.05967,40.431,12.6032,0.6156589
3530.0,9.23802,40.4638,12.6032,0.62747109
3540.0,9.40888,45.1688,12.6032,0.63173083
3550.0,9.5823,59.774,12.6032,0.62216749
3560.0,9.78834,92.2968,12.6032,0.59429878
3570.0,10.0169,73.2012,12.6032,0.63148133
3580.0,10.2245,51.4251,12.6032,0.67542271
3590.0,10.4845,42.8604,12.6032,0.70606476
3600.0,10.712,40.9859,12.6032,0.7242277
3610.0,10.9633,52.1075,12.6032,0.72194783
3620.0,11.2955,50.6403,12.6032,0.74576084
3630.0,11.5992,54.1316,12.6032,0.75932331
3640.0,11.8873,73.4709,12.6032,0.74621354
3650.0,12.1554,123.134,12.6032,0.69516043
3660.0,12.5035,73.6652,12.6032,0.78362746
3670.0,12.8619,50.3975,12.6032,0.84676176
3680.0,13.2059,38.2277,12.6032,0.89360965
3690.0,13.5823,59.9891,12.6032,0.87413403
3700.0,13.9505,68.1065,12.6032,0.88186698
3710.0,14.3298,74.4889,12.6032,0.89339398
3720.0,14.727,52.7001,12.6032,0.9607125
3730.0,15.1104,66.0759,12.6032,0.957017
3740.0,15.5252,68.9512,12.6032,0.9766331
3750.0,15.9456,50.872,12.6032,1.0417293
3760.0,16.351,61.995,12.6032,1.0418937
3770.0,16.7588,51.3503,12.6032,1.0918037
3780.0,17.1666,73.981,12.6032,1.0654848
3790.0,17.5929,60.5251,12.6032,1.1216868
3800.0,18.019,73.0728,12.6032,1.1185895
3810.0,18.4379,68.6307,12.6032,1.153985
3820.0,18.864,81.123,12.6032,1.1507679
3830.0,19.2853,89.9774,12.6032,1.155912
3840.0,19.6867,76.3003,12.6032,1.210446
3850.0,20.1089,70.4107,12.6032,1.2499723
3860.0,20.4994,67.3796,12.6032,1.281109
3870.0,20.9226,77.5024,12.6032,1.2804305
3880.0,21.3107,47.9381,12.6032,1.3854203
3890.0,21.6855,77.6267,12.6032,1.3249055
3900.0,22.0601,83.6917,12.6032,1.3312757
3910.0,22.4478,221.017,12.6032,1.0980122
3920.0,22.8127,120.505,12.6032,1.2880724
3930.0,23.1657,83.0482,12.6032,1.3968886
3940.0,23.5127,104.373,12.6032,1.3630331
3950.0,23.8649,121.827,12.6032,1.3422988
3960.0,24.1712,103.791,12.6032,1.4010829
3970.0,24.5116,74.0277,12.6032,1.5001556
3980.0,24.8304,112.308,12.6032,1.4167952
3990.0,25.1289,111.932,12.6032,1.4340471
4000.0,25.4022,152.483,12.6032,1.3586718
4010.0,25.6764,146.75,12.6032,1.3846612
4020.0,25.9523,128.225,12.6032,1.4399146
4030.0,26.2371,164.515,12.6032,1.3772463
4040.0,26.5416,165.486,12.6032,1.3907127
4050.0,26.7627,1180.2,12.6032,0.70996423
4060.0,27.0469,174.611,12.6032,1.3981147
4070.0,27.3324,174.423,12.6032,1.4127037
4080.0,27.5522,469.601,12.6032,1.0551149
4090.0,27.7901,210.776,12.6032,1.3680662
4100.0,28.01,138.528,12.6032,1.5243713
4110.0,28.2347,142.439,12.6032,1.5269179
4120.0,28.4644,124.6,12.6032,1.5823701
4130.0,28.6846,153.183,12.6032,1.5255066
4140.0,28.92,157.88,12.6032,1.5269948
4150.0,29.1018,146.422,12.6032,1.5623959
4160.0,29.3243,154.077,12.6032,1.5560747
4170.0,29.5456,205.863,12.6032,1.4604416
4180.0,29.7631,166.639,12.6032,1.5501294
4190.0,29.9579,147.141,12.6032,1.6046527
4200.0,30.1758,148.946,12.6032,1.6114803
4210.0,30.4052,173.712,12.6032,1.5666512
4220.0,30.6054,151.508,12.6032,1.627251
4230.0,30.8311,169.287,12.6032,1.5974891
4240.0,31.0665,238.71,12.6032,1.4726989
4250.0,31.29,338.42,12.6032,1.3353756
