wave,obj,sky,noise,s2n
3150.0,6.47065,0.0,12.6032,0.49358696
3160.0,6.47065,0.0,12.6032,0.49358698
3170.0,6.47065,25.697,12.6032,0.4591387
3180.0,6.47065,36.6663,12.6032,0.44648074
3190.0,6.47065,32.695,12.6032,0.45094159
3200.0,6.47065,38.711,12.6032,0.44423497
3210.0,6.65144,41.674,12.6032,0.45317253
3220.0,6.83729,58.0292,12.6032,0.44826816
3230.0,6.54509,52.3421,12.6032,0.43495902
3240.0,6.38796,25.3584,12.6032,0.45376844
3250.0,6.37884,18.6498,12.6032,0.461335
3260.0,6.49292,42.1477,12.6032,0.4420292
3270.0,6.7188,28.7805,12.6032,0.47264878
3280.0,6.98108,51.7557,12.6032,0.46411182
3290.0,7.33279,25.323,12.6032,0.51969556
3300.0,7.71342,49.6826,12.6032,0.51442273
3310.0,8.14844,31.9893,12.6032,0.56657114
3320.0,8.56861,41.8238,12.6032,0.58100299
3330.0,8.93041,29.3166,12.6032,0.6239682
3340.0,9.37222,26.981,12.6032,0.65804167
3350.0,9.76842,48.3528,12.6032,0.6505055
3360.0,10.1675,26.1453,12.6032,0.7140138
3370.0,10.6136,54.2688,12.6032,0.69605827
3380.0,10.9237,48.1167,12.6032,0.72597364
3390.0,11.2528,47.8425,12.6032,0.74777768
3400.0,11.5604,48.3006,12.6032,0.7668916
3410.0,11.8939,31.0235,12.6032,0.82157224
3420.0,12.1904,45.9685,12.6032,0.81189921
3430.0,12.4722,48.7346,12.6032,0.82490317
3440.0,12.6838,43.5132,12.6032,0.84865498
3450.0,13.0208,29.2662,12.6032,0.90092665
3460.0,13.1697,55.1173,12.6032,0.85737772
3470.0,13.4779,39.2815,12.6032,0.90916928
3480.0,13.6974,57.5981,12.6032,0.88590862
3490.0,13.962,58.3209,12.6032,0.90110596
3500.0,14.1806,31.261,12.6032,0.97366103
3510.0,14.4902,49.932,12.6032,0.95160418
3520.0,14.7609,40.431,12.6032,0.99013861
3530.0,15.0514,40.4638,12.6032,1.0088939
3540.0,15.3298,45.1688,12.6032,1.0158064
3550.0,15.6124,59.774,12.6032,1.0010485
3560.0,15.9481,92.2968,12.6032,0.95747679
3570.0,16.3205,73.2012,12.6032,1.0162172
3580.0,16.6586,51.4251,12.6032,1.0853295
3590.0,17.0823,42.8604,12.6032,1.1335515
3600.0,17.453,40.9859,12.6032,1.1622089
