wave,obj,sky,noise,s2n
3150.0,9.26721,0.0,12.6032,0.70122867
3160.0,9.26721,0.0,12.6032,0.70122869
3170.0,9.26721,25.697,12.6032,0.65299337
3180.0,9.26721,36.6663,12.6032,0.6352309
3190.0,9.26721,32.695,12.6032,0.64149295
3200.0,9.26721,38.711,12.6032,0.63207741
3210.0,9.52614,41.674,12.6032,0.64474234
3220.0,9.79231,58.0292,12.6032,0.63796692
3230.0,9.37382,52.3421,12.6032,0.61908954
3240.0,9.14878,25.3584,12.6032,0.64540327
3250.0,9.13573,18.6498,12.6032,0.65600714
3260.0,9.29911,42.1477,12.6032,0.62899338
3270.0,9.6226,28.7805,12.6032,0.67211159
3280.0,9.99824,51.7557,12.6032,0.66030889
3290.0,10.502,25.323,12.6032,0.73844921
3300.0,11.0471,49.6826,12.6032,0.73134973
3310.0,11.6701,31.9893,12.6032,0.80461757
3320.0,12.2719,41.8238,12.6032,0.82511282
3330.0,12.7901,29.3166,12.6032,0.88534002
3340.0,13.4228,26.981,12.6032,0.93317081
3350.0,13.9902,48.3528,12.6032,0.9230478
3360.0,14.5619,26.1453,12.6032,1.0117011
3370.0,15.2007,54.2688,12.6032,0.98719804
3380.0,15.6448,48.1167,12.6032,1.0290596
3390.0,16.1162,47.8425,12.6032,1.0596426
3400.0,16.5568,48.3006,12.6032,1.0864565
3410.0,17.0343,31.0235,12.6032,1.162479
3420.0,17.459,45.9685,12.6032,1.1494413
3430.0,17.8625,48.7346,12.6032,1.1677321
3440.0,18.1657,43.5132,12.6032,1.2007915
3450.0,18.6483,29.2662,12.6032,1.2732618
3460.0,18.8616,55.1173,12.6032,1.2133807
3470.0,19.303,39.2815,12.6032,1.2851834
3480.0,19.6173,57.5981,12.6032,1.2533667
3490.0,19.9962,58.3209,12.6032,1.2746366
3500.0,20.3093,31.261,12.6032,1.3747499
3510.0,20.7528,49.932,12.6032,1.3448388
3520.0,21.1404,40.431,12.6032,1.3981432
3530.0,21.5565,40.4638,12.6032,1.4242653
3540.0,21.9552,45.1688,12.6032,1.4341188
3550.0,22.3599,59.774,12.6032,1.4142117
3560.0,22.8407,92.2968,12.6032,1.3545668
3570.0,23.374,73.2012,12.6032,1.4359158
3580.0,23.8584,51.4251,12.6032,1.531179
3590.0,24.4651,42.8604,12.6032,1.5977001
3600.0,24.9961,40.9859,12.6032,1.6373477
3610.0,25.5823,52.1075,12.6032,1.6336486
3620.0,26.3575,50.6403,12.6032,1.685742
3630.0,27.0663,54.1316,12.6032,1.715894
3640.0,27.7386,73.4709,12.6032,1.6892982
3650.0,28.364,123.134,12.6032,1.5807683
3660.0,29.1763,73.6652,12.6032,1.7714757
3670.0,30.0128,50.3975,12.6032,1.9063003
3680.0,30.8155,38.2277,12.6032,2.0058989
3690.0,31.6937,59.9891,12.6032,1.9672987
3700.0,32.5529,68.1065,12.6032,1.9853321
3710.0,33.4381,74.4889,12.6032,2.0113422
3720.0,34.3648,52.7001,12.6032,2.1535993
3730.0,35.2596,66.0759,12.6032,2.1480389
3740.0,36.2274,68.9512,12.6032,2.1909544
3750.0,37.2084,50.872,12.6032,2.3275137
3760.0,38.1544,61.995,12.6032,2.3302556
3770.0,39.1059,51.3503,12.6032,2.4348252
3780.0,40.0576,73.981,12.6032,2.3833957
3790.0,41.0523,60.5251,12.6032,2.5008773
3800.0,42.0465,73.0728,12.6032,2.4971292
3810.0,43.024,68.6307,12.6032,2.5717789
3820.0,44.0184,81.123,12.6032,2.5677728
3830.0,45.0013,89.9774,12.6032,2.580696
3840.0,45.938,76.3003,12.6032,2.6940068
3850.0,46.9233,70.4107,12.6032,2.7764706
3860.0,47.8345,67.3796,12.6032,2.8415761
3870.0,48.822,77.5024,12.6032,2.8429885
3880.0,49.7277,47.9381,12.6032,3.0545916
3890.0,50.6021,77.6267,12.6032,2.9371553
3900.0,51.4763,83.6917,12.6032,2.9523571
3910.0,52.3809,221.017,12.6032,2.4750686
3920.0,53.2324,120.505,12.6032,2.8697289
