wave,obj,sky,noise,s2n
3150.0,9.79373,0.0,12.6032,0.7399549
3160.0,9.79373,0.0,12.6032,0.73995492
3170.0,9.79373,25.697,12.6032,0.68919335
3180.0,9.79373,36.6663,12.6032,0.67049309
3190.0,9.79373,32.695,12.6032,0.6770862
3200.0,9.79373,38.711,12.6032,0.6671727
3210.0,10.0674,41.674,12.6032,0.6805307
3220.0,10.3487,58.0292,12.6032,0.67341876
3230.0,9.9064,52.3421,12.6032,0.65350489
3240.0,9.66857,25.3584,12.6032,0.68119177
3250.0,9.65478,18.6498,12.6032,0.69235273
3260.0,9.82745,42.1477,12.6032,0.66392808
3270.0,10.1693,28.7805,12.6032,0.70935267
3280.0,10.5663,51.7557,12.6032,0.69696188
3290.0,11.0986,25.323,12.6032,0.77925607
3300.0,11.6747,49.6826,12.6032,0.77184094
3310.0,12.3332,31.9893,12.6032,0.84899551
3320.0,12.9691,41.8238,12.6032,0.87062111
3330.0,13.5167,29.3166,12.6032,0.93401652
3340.0,14.1854,26.981,12.6032,0.984377
3350.0,14.7851,48.3528,12.6032,0.97380806
3360.0,15.3892,26.1453,12.6032,1.067053
3370.0,16.0643,54.2688,12.6032,1.0413913
3380.0,16.5336,48.1167,12.6032,1.0854411
3390.0,17.0319,47.8425,12.6032,1.117637
3400.0,17.4974,48.3006,12.6032,1.1458658
3410.0,18.0021,31.0235,12.6032,1.2257667
3420.0,18.4509,45.9685,12.6032,1.2121445
3430.0,18.8774,48.7346,12.6032,1.2314099
3440.0,19.1977,43.5132,12.6032,1.2661634
3450.0,19.7078,29.2662,12.6032,1.3422921
3460.0,19.9332,55.1173,12.6032,1.2794856
3470.0,20.3997,39.2815,12.6032,1.3549124
3480.0,20.7319,57.5981,12.6032,1.3215745
3490.0,21.1323,58.3209,12.6032,1.3439574
3500.0,21.4632,31.261,12.6032,1.4490316
3510.0,21.9319,49.932,12.6032,1.417741
3520.0,22.3415,40.431,12.6032,1.4737135
3530.0,22.7813,40.4638,12.6032,1.5011782
3540.0,23.2026,45.1688,12.6032,1.5115819
3550.0,23.6303,59.774,12.6032,1.4907778
3560.0,24.1384,92.2968,12.6032,1.4282716
3570.0,24.7021,73.2012,12.6032,1.5137098
3580.0,25.2139,51.4251,12.6032,1.6136755
3590.0,25.8551,42.8604,12.6032,1.6834919
3600.0,26.4163,40.9859,12.6032,1.7251265
3610.0,27.0358,52.1075,12.6032,1.7213715
3620.0,27.8551,50.6403,12.6032,1.776087
3630.0,28.6041,54.1316,12.6032,1.8078057
3640.0,29.3146,73.4709,12.6032,1.7800819
3650.0,29.9755,123.134,12.6032,1.6664154
