designation,ACCEPTED
TARGETID_39628346081936841,YES
TARGETID_39628379145637914,YES
TARGETID_39628512285426154,YES
TARGETID_39628516710418961,YES
TARGETID_39632946793025886,YES
TARGETID_39633085267968176,NO
TARGETID_39633136459448983,NO
TARGETID_39633149587623462,YES
TARGETID_39633162619324602,NO
TARGETID_39633267170738647,YES
TARGETID_39633311366122701,YES
TARGETID_39633325387681000,YES
TARGETID_39633325958105931,YES
TARGETID_39633384095352378,YES
TARGETID_39633387157195822,NO
TARGETID_39633396137198490,YES
TARGETID_39633426973720698,NO
TARGETID_39633432401152732,YES
J110018.80+080455.3,YES
J115449.31+112705.8,YES
J132210.17+084232.9,YES
J134039.67+051419.7,YES
J140658.28+161142.6,YES
J141354.73+110047.5r,YES
J143027.14+152514.8,YES
J143404.58+093528.5,YES
J144809.53+054019.2,YES
J150013.42+123645.2,YES
J150152.94+020604.9,YES
J150356.69+125914.3,YES
J150357.14+041856.3,YES
J150746.11+093731.2,YES
J152259.51+032347.6r,YES
J204626.10+002337.6,YES
