designation,ra,dec,zsp,spCl,ebv,umag,gmag_1,rmag_1,imag_1,zmag_1,jmag,hmag,kmag,w1mag,w2mag,w3mag,w4mag,FIRST_peak,FIRST_int,VLASS_peak,VLASS_int,broad,src,FUVmag,NUVmag,gmag_2,rmag_2,imag_2,zmag_2,ymag,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3
J004341.25+005253.3,10.921886,0.881474,0.828,redQSO,0.668,21.991,20.505,19.451,18.671,17.955,16.229,15.481,14.424,12.593,11.272,8.525,6.495,0.0,0.0,0.0,0.0,8798.0,B,,22.5403995513916,20.5049991607666,19.451000213623047,18.67099952697754,17.954999923706055,18.0403995513916,17.231000900268555,16.05500030517578,,
J012702.52+011412.4,21.760538,1.236781,1.143,redQSO,0.391,20.344,19.006,17.985,17.494,17.26,15.819,15.262,14.517,13.999,12.992,9.898,6.585,1.06,1.14,0.0,0.0,5402.1,B,,21.889299392700195,19.006000518798828,17.985000610351562,17.493999481201172,17.260000228881836,17.11709976196289,16.420000076293945,15.946999549865723,15.329000473022461,14.708999633789062
J032247.32+000326.1,50.697185,0.057261,0.603,redQSO,0.277,18.83,18.115,17.843,17.559,17.601,16.306,15.641,14.647,12.672,11.505,8.821,6.532,0.0,0.0,0.0,0.0,2897.8,B,20.896699905395508,19.677600860595703,18.114999771118164,17.843000411987305,17.55900001525879,17.60099983215332,17.281099319458008,,,,14.390000343322754
J084452.76+134318.3,131.219857,13.721757,0.193,redQSO,0.251,20.219,19.041,18.056,17.566,17.444,15.984,15.202,14.063,12.273,11.292,8.89,6.296,1.22,2.13,0.0,0.0,1850.9,w2m,,22.42620086669922,19.041000366210938,18.055999755859375,17.56599998474121,17.444000244140625,17.67530059814453,,,,
J091615.68+062425.8_add,139.065352,6.407175,0.341,redQSO,0.352,21.004,19.735,18.416,18.091,17.447,16.497,16.184,14.841,14.481,13.647,10.841,8.172,0.0,0.0,0.0,0.0,1453.0,w2m,,21.57830047607422,19.735000610351562,18.416000366210938,18.090999603271484,17.44700050354004,18.59429931640625,,17.207000732421875,16.466999053955078,15.694999694824219
J094400.60+055108.9,146.002502,5.8525,0.367,redQSO,0.671,21.784,19.897,18.705,18.156,17.244,16.7,16.032,14.555,13.165,12.086,9.596,7.349,1.3,2.04,1.12,1.51,2104.2,B,,22.46940040588379,19.89699935913086,18.704999923706055,18.1560001373291,17.243999481201172,18.8927001953125,18.114999771118164,17.073999404907227,15.791999816894531,14.496000289916992
J095915.29+034033.6r,149.813749,3.676001,0.682,redQSO,0.361,21.356,20.164,19.338,18.731,18.209,16.546,15.653,14.922,12.954,11.785,9.158,6.831,0.0,0.0,0.0,0.0,6082.1,b-r,,22.081300735473633,20.163999557495117,19.33799934387207,18.731000900268555,18.208999633789062,18.279600143432617,17.434999465942383,16.716999053955078,15.75100040435791,14.628999710083008
J102431.31+072607.2,156.13046,7.435355,0.38,redQSO,0.621,22.676,20.904,19.574,18.998,18.343,16.849,15.857,14.77,12.82,11.579,8.613,6.54,0.0,0.0,0.0,0.0,3974.0,w2m,,23.006000518798828,20.90399932861328,19.573999404907227,18.99799919128418,18.343000411987305,18.84510040283203,17.937000274658203,17.138999938964844,16.04599952697754,14.656999588012695
J102918.49+013152.7,157.327074,1.531326,0.44,redQSO,0.253,21.224,20.128,19.15,18.618,18.156,17.092,17.691,14.962,13.494,12.455,9.74,7.312,39.45,40.53,22.4,22.83,5380.0,w2m,,21.84079933166504,20.128000259399414,19.149999618530273,18.618000030517578,18.1560001373291,18.101600646972656,17.844999313354492,17.20400047302246,16.395999908447266,15.253999710083008
J104319.88+132748.7r,160.832858,13.463537,1.44,redQSO,0.272,20.635,19.474,18.499,18.054,17.794,16.386,15.086,14.829,14.133,13.031,10.181,7.536,7.29,7.61,5.05,5.41,1361.3,b-r,,22.528900146484375,19.474000930786133,18.499000549316406,18.054000854492188,17.79400062561035,17.70829963684082,16.913999557495117,16.229000091552734,15.25100040435791,15.112000465393066
