designation,ra,dec,zsp,umag,gmag_1,rmag_1,imag_1,zmag_1,j_m_2mass,h_m_2mass,k_m_2mass,w1mpro,w2mpro,w3mpro,w4mpro,broad,src,FUVmag,NUVmag,gmag_2,rmag_2,imag_2,zmag_2,ymag,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3
J102431.31+072607.2,156.1304603,7.4353548,0.3799999952316284,22.676,20.904,19.574,18.998,18.343,16.849,15.857,14.77,12.82,11.579,8.613,6.54,3974.0,w2m,,23.006000518798828,20.90399932861328,19.573999404907227,18.99799919128418,18.343000411987305,18.84510040283203,17.937000274658203,17.138999938964844,16.04599952697754,14.656999588012695
J102918.49+013152.7,157.3270744,1.5313264,1.3600000143051147,21.224,20.128,19.15,18.618,18.156,17.092,17.691,14.962,13.494,12.455,9.74,7.312,5380.0,w2m,,21.84079933166504,20.128000259399414,19.149999618530273,18.618000030517578,18.1560001373291,18.101600646972656,17.844999313354492,17.20400047302246,16.395999908447266,15.253999710083008
J104431.50+135054.6,161.1312683,13.8485242,0.3019999861717224,21.022,19.662,18.433,18.048,17.712,16.543,15.715,14.922,13.051,11.892,9.002,6.605,1112.2,w2m,,21.84980010986328,19.66200065612793,18.433000564575195,18.04800033569336,17.711999893188477,18.2716007232666,17.52899932861328,16.856000900268555,15.87600040435791,
J110018.80+080455.3,165.0783681,8.0820618,0.8029999732971191,21.017,20.163,19.41,18.971,18.315,16.64,16.81,14.843,12.855,11.536,8.896,6.616,3580.7,w2m,,21.40489959716797,20.163000106811523,19.40999984741211,18.97100067138672,18.315000534057617,18.473899841308594,,16.812999725341797,16.358999252319336,14.996000289916992
J123157.92+133446.7,187.9913404,13.5796477,0.1809999942779541,21.291,19.619,18.588,18.084,17.695,16.661,15.873,14.852,13.83,12.893,9.855,7.725,4551.0,w2m,,22.409400939941406,19.618999481201172,18.58799934387207,18.083999633789062,17.69499969482422,18.277099609375,17.642000198364258,16.820999145507812,15.96399974822998,14.956999778747559
J140658.28+161142.6,211.7428362,16.1951986,0.9200000166893005,21.823,21.517,20.768,20.023,19.83,17.14,15.78,14.759,12.842,11.492,8.702,6.333,3573.3,w2m,,22.126399993896484,21.517000198364258,20.76799964904785,20.023000717163086,19.829999923706055,18.865299224853516,,,,
J143027.14+152514.8,217.6131141,15.4208086,0.6600000262260437,20.987,19.905,18.822,18.273,17.901,16.832,15.705,14.9,12.626,11.248,8.397,5.796,3207.2,w2m,,20.88949966430664,19.905000686645508,18.82200050354004,18.273000717163086,17.900999069213867,18.3031005859375,,,,
J143404.58+093528.5,218.5190767,9.5912547,0.7699999809265137,22.99,23.001,20.97,19.598,18.744,17.003,16.341,14.905,13.2,11.881,8.778,6.344,3501.8,w2m,,21.401500701904297,23.000999450683594,20.969999313354492,19.597999572753906,18.743999481201172,18.93160057067871,18.260000228881836,17.148000717163086,16.2450008392334,15.067999839782715
J144043.26+043918.7,220.1802722,4.6552139,1.9989999532699585,19.486,19.497,18.922,18.255,17.794,16.444,15.66,14.972,14.231,13.221,9.838,7.419,3395.7,w2m,22.11549949645996,22.3843994140625,19.496999740600586,18.922000885009766,18.2549991607666,17.79400062561035,17.907400131225586,17.099000930786133,16.509000778198242,15.859999656677246,15.168000221252441
J150152.94+020604.9,225.4706072,2.1013648,1.190000057220459,21.259,20.006,18.913,18.438,18.104,16.951,16.294,14.982,13.687,12.232,9.183,6.602,6543.0,w2m,,21.387699127197266,20.006000518798828,18.913000106811523,18.437999725341797,18.104000091552734,17.70840072631836,16.952999114990234,16.6200008392334,15.970999717712402,15.168999671936035
addJ091615.68+062425.8,139.065351645,6.407175014,0.341,21.004,19.735,18.416,18.091,17.447,16.497,16.184,14.841,14.481,13.647,10.841,8.172,1453.0,w2m,,21.57830047607422,19.735000610351562,18.416000366210938,18.090999603271484,17.44700050354004,18.59429931640625,,17.207000732421875,16.466999053955078,15.694999694824219
