designation,ra,dec,zsp,umag,gmag,rmag,imag,zmag,j_m_2mass,h_m_2mass,k_m_2mass,w1mpro,w2mpro,w3mpro,w4mpro,broad,src,FUVmag,NUVmag,PS1_gmag,PS1_rmag,PS1_imag,PS1_zmag,PS1_ymag
J081327.09+100424.4,123.3628833,10.0734668,0.246,21.856,19.941,18.748,18.298,17.987,16.991,16.057,14.998,14.406,13.358,10.063,7.467,2270.0,w2m,nan,nan,19.94099998474121,18.74799919128418,18.29800033569336,17.98699951171875,18.680099487304688
J083211.65+050900.8,128.0485075,5.1502574,1.0700000524520874,21.141,20.872,20.453,20.362,20.094,16.513,15.663,14.73,15.856,14.901,12.576,8.511,3338.0,w2m,nan,nan,20.871999740600586,20.452999114990234,20.36199951171875,20.0939998626709,19.447999954223633
J083849.36+083510.4,129.7056942,8.5862388,0.2280000001192093,20.947,19.917,18.696,18.297,18.084,16.778,15.625,14.806,13.979,12.939,10.036,7.536,1712.4,w2m,nan,nan,19.91699981689453,18.695999145507812,18.297000885009766,18.083999633789062,18.609800338745117
J084014.28+035501.2,130.059562,3.9170344,0.208,21.469,19.631,18.491,17.903,17.746,16.673,15.776,14.987,13.876,12.958,9.795,7.169,1582.0,w2m,nan,nan,19.631000518798828,18.490999221801758,17.902999877929688,17.746000289916992,18.565399169921875
J090027.75+082314.7,135.1156653,8.3874347,0.6050000190734863,21.69,20.097,19.098,18.442,18.204,16.705,15.73,14.813,13.438,12.212,9.252,6.93,2952.9,w2m,nan,nan,20.097000122070312,19.097999572753906,18.441999435424805,18.20400047302246,18.0939998626709
J091105.35+034443.3,137.7723139,3.7453668,0.23499999940395355,21.78,20.094,18.804,18.284,17.972,16.886,16.02,14.91,13.788,12.769,10.043,7.425,1779.7,w2m,nan,nan,20.0939998626709,18.804000854492188,18.284000396728516,17.972000122070312,18.49880027770996
J091158.57+095042.8,137.9940449,9.8452497,1.67,20.957,19.769,18.917,18.298,17.957,16.657,15.649,14.901,14.132,12.807,9.765,7.727,3551.0,w2m,nan,nan,19.768999099731445,18.91699981689453,18.29800033569336,17.957000732421875,17.921199798583984
addJ091615.68+062425.8,139.065351645,6.407175014,0.341,21.004,19.735,18.416,18.091,17.447,16.497,16.184,14.841,14.481,13.647,10.841,8.172,1453.0,w2m,nan,21.57830047607422,19.735000610351562,18.416000366210938,18.090999603271484,17.44700050354004,18.59429931640625
J091626.68+023725.8,139.1111722,2.6238373,0.21,21.268,19.688,18.604,18.111,17.85,16.621,15.873,14.786,13.72,12.865,9.93,7.609,2305.0,w2m,nan,nan,19.687999725341797,18.604000091552734,18.111000061035156,17.850000381469727,18.04400062561035
J091644.44+062730.5,139.1852105,6.4585015,0.23000000417232513,21.062,19.605,18.239,17.724,17.516,16.468,15.788,14.91,14.072,13.124,9.89,7.025,1418.5,w2m,nan,nan,19.604999542236328,18.23900032043457,17.724000930786133,17.516000747680664,18.070199966430664
J092015.40+041344.5,140.0641796,4.2290483,0.4699999988079071,21.072,19.686,18.981,18.553,18.176,16.488,15.838,14.926,13.016,11.871,9.344,7.309,4744.5,w2m,nan,nan,19.68600082397461,18.981000900268555,18.55299949645996,18.176000595092773,17.789600372314453
J092345.76+052026.3,140.9406487,5.3406975,2.4600000381469727,22.327,20.167,19.028,18.5,18.054,16.628,16.128,14.953,14.633,13.881,10.975,8.949,4321.7,w2m,nan,nan,20.16699981689453,19.027999877929688,18.5,18.054000854492188,18.19729995727539
J093240.72+144238.2,143.1697387,14.7106003,0.20999999344348907,21.86,20.066,18.996,18.341,18.097,16.887,15.745,14.903,13.362,12.448,9.751,7.092,1177.3,w2m,nan,nan,20.06599998474121,18.996000289916992,18.340999603271484,18.097000122070312,18.214000701904297
J093319.53+070508.8,143.3314262,7.0858186,0.276,21.493,20.009,18.644,18.114,17.514,16.587,15.436,14.986,14.115,13.156,10.37,7.776,1076.5,w2m,nan,nan,20.009000778198242,18.643999099731445,18.11400032043457,17.513999938964844,18.61039924621582
J094217.57+085505.9,145.573242,8.9183541,0.4313,21.453,19.787,18.475,17.919,17.541,16.595,15.452,14.895,13.96,13.007,10.007,7.846,3619.0,w2m,nan,nan,19.78700065612793,18.475000381469727,17.91900062561035,17.541000366210938,18.12579917907715
J095242.22+031022.0,148.1759527,3.1727973,0.534,21.445,21.145,20.241,19.511,19.205,17.722,16.099,14.967,13.166,12.074,9.732,7.331,2495.0,w2m,nan,nan,21.145000457763672,20.240999221801758,19.51099967956543,19.204999923706055,19.16699981689453
J095711.14+021104.3,149.2964168,2.1845457,0.828000009059906,23.211,22.483,20.766,19.794,18.532,16.913,15.85,14.951,13.478,12.218,9.354,7.0,5213.6,w2m,nan,nan,22.482999801635742,20.766000747680664,19.79400062561035,18.531999588012695,18.913700103759766
J102431.31+072607.2,156.1304603,7.4353548,0.3799999952316284,22.676,20.904,19.574,18.998,18.343,16.849,15.857,14.77,12.82,11.579,8.613,6.54,3974.0,w2m,nan,23.006000518798828,20.90399932861328,19.573999404907227,18.99799919128418,18.343000411987305,18.84510040283203
