TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,L6_Z_MATCH_BIN,144_LUM,EDR?,JName,ra_x,dec_x,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3,yAperMag3Err,j_1AperMag3Err,hAperMag3Err,kAperMag3Err,sourceID,mode,epoch,mergedClass,angDist,JName_x,ra_xa,dec_xa,yAperMag3_x,j_1AperMag3_x,hAperMag3_x,kAperMag3_x,yAperMag3Err_x,j_1AperMag3Err_x,hAperMag3Err_x,kAperMag3Err_x,sourceID_x,mode_x,epoch_x,mergedClass_x,angDist_x,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch_xa,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_xa,AllWISE,RAJ2000_x,DEJ2000_x,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist_xb,RAJ2000_xa,DEJ2000_xa,name,objid_x,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,w_NUV,w_FUV,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd_x,primidd,groupidd,grouptot,OName,Size,angDist_xc
39628501782893048,193.96237595445322,31.047582003802006,2.3660137289944907,QSO,-0.04448713061985332,0.008859751479988826,4.879145838423314E-5,45.598039891862335,,0.0,true,J125550.98+310251.3,193.962438,31.047608,18.952,,18.4,17.986,0.055,,0.163,0.147,433794285700,1,2010.2802,-1,0.213347,J125550.98+310251.3,193.962438,31.047608,18.952,,18.4,17.986,0.055,,0.163,0.147,433794285700,1,2010.2802,-1,0.213347,145251939623667589,193.96237585,31.04758208,0.01,0.008,90.0,436527256,52,56241.92969907,5,68,19.7241,0.0255,19.836,0.0286,115000,19.6216,0.0221,19.7493,0.0222,115000,19.7146,0.0382,19.7932,0.0422,115000,19.492,0.0207,19.6591,0.051,115000,19.2765,0.04,19.5804,0.0886,115000,4.23E-4,J125550.97+310251.3,193.9624095,31.0476051,0.2442,0.2191,15.7,16.89,15.726,12.223,8.448,,,,0.092,0.115,0.339,,,,,1941131801351005912,0000,0,nnnn,ABBU,116,889,339,975,,0.132718,193.962362,31.047615,GALEX J125550.9+310251,6374891646442540268,6374891646441488384,AIS,193.881057,30.962398,105.0,203.5,109.3803,85.9639,50113,1697,53,0.110084,true,1,0.0173,0,0,,,22.0318,0.337,,,1.9518,0.337,,,2.0095,0.2959,,,1.8334,0.4197,0,0,0,0,,,5.58842,1.73428,,,1753.2,2122.75,,4.497,,0.002,0.9792,0.0,0.1088,,59.84,55.45,,,0.0,65.3892,4.43826,5.86E-4,5.22E-4,,,,162.4,106.6,,,0.93,,,0.36,,C,0,1,6374891646442540032,6374891646442540268,0,1,6374891646442540032,6374891646442540268,6374891646442540268,N,0.0,0.12733
39628501787087553,194.25961304655723,31.025226695412464,1.1564920090645212,QSO,0.14741445086329263,0.00528256140992487,1.7789717417249836E-5,45.580722756097316,,5.172633743777439E23,true,J125702.30+310130.9,194.259593,31.025257,17.882,17.817,17.09,16.232,0.024,0.037,0.055,0.033,433794335084,1,2010.2802,-1,0.125364,J125702.30+310130.9,194.259593,31.025257,17.882,17.817,17.09,16.232,0.024,0.037,0.055,0.033,433794335084,1,2010.2802,-1,0.125364,145231942596510765,194.2596144,31.02522613,0.006,0.006,0.0,436527248,52,56227.8981713,5,76,19.0881,0.011,19.2131,0.0199,115000,18.613,0.0158,18.6857,0.0203,115000,18.4705,0.0099,18.5364,0.0108,115000,18.5333,0.0189,18.6058,0.0233,115000,18.3838,0.0203,18.4223,0.051,115000,0.004645,J125702.31+310130.8,194.2596256,31.0252453,0.0533,0.0519,14.4,14.575,13.148,10.36,8.112,,,,0.028,0.028,0.063,0.234,,,,1947130201351062510,0000,0,011n,AAAB,341,158,240,164,,0.077324,194.259978,31.025362,GALEX J125702.3+310131,6374891646444637316,6374891646441488384,AIS,193.881057,30.962398,105.0,203.5,105.8304,85.9153,50113,1697,53,0.330866,true,3,0.0128,0,0,21.1765,0.3107,20.9588,0.1559,2.3565,0.3107,0.8788,0.1559,2.4693,0.3447,0.8677,0.1423,2.3695,0.3504,0.8505,0.1903,0,0,0,0,12.2863,3.51515,15.0134,2.15505,1141.04,2069.44,1141.06,2070.61,9.343,5.674,0.004,0.002,0.9835,0.9774,0.0561,0.3722,-3.68,-4.77,35.92,36.03,9.79485,4.1146,3.5,7.02E-4,6.62E-4,3.5,8.21E-4,5.15E-4,169.0,96.5,0.309,1.79,0.59,1.38,1.16,0.19,0.24,C,0,1,6374891646444637184,6374891646444637316,0,1,6374891646444637184,6374891646444637316,6374891646444637316,N,0.0,1.227443
39628501791277300,194.28220099324287,31.118848058235486,2.1945981818826747,QSO,-0.03241331174204087,0.05201020331155723,4.283922819896673E-5,45.6226073708877,,0.0,true,J125707.71+310708.0,194.282145,31.11889,20.072,19.759,,18.436,0.155,0.211,,0.245,433794334804,1,2010.2802,-1,0.229356,J125707.71+310708.0,194.282145,31.11889,20.072,19.759,,18.436,0.155,0.211,,0.245,433794334804,1,2010.2802,-1,0.229356,145341942821273201,194.28220001,31.1188483,0.02,0.019,0.0,436527232,52,56359.99888889,5,57,20.9652,0.0615,20.9034,0.0824,115000,20.7359,0.0375,20.82,0.0367,115000,20.6736,0.0456,20.7289,0.0559,115000,20.5968,0.0341,20.6158,0.0922,115000,,,,,114720,0.003153,J125707.63+310707.5,194.2818201,31.1187568,0.3696,0.3308,19.1,17.511,16.081,11.882,9.141,,,,0.155,0.163,0.241,,,,,1941131801351006125,0000,0,nnnn,BBBU,-1048,1475,-982,1616,,1.21915,194.28255,31.119133,GALEX J125707.8+310708,6374891646444637890,6374891646441488384,AIS,193.881057,30.962398,105.0,203.5,105.9708,85.8201,50113,1697,53,0.378023,true,3,0.0139,0,0,22.1489,0.4962,22.2999,0.3291,3.3289,0.4962,2.2199,0.3291,3.5333,0.599,2.1983,0.3144,3.5255,0.7283,2.9105,1.0112,0,0,0,0,5.01684,2.29222,4.36566,1.323,1096.33,2295.89,1095.45,2295.83,5.24,7.806,0.002,0.003,0.9366,0.9747,0.3112,0.3001,52.41,50.62,-75.38,-75.2,7.80562,1.77286,3.5,6.55E-4,4.51E-4,4.90909,4.39E-4,3.07E-4,174.6,100.1,0.717,1.27,1.16,1.41,1.59,0.46,0.25,C,0,1,6374891646444638208,6374891646444637890,0,1,6374891646444638208,6374891646444637890,6374891646444637890,N,0.0,1.487571
39628501795472939,194.64159424317145,31.124346642705696,1.8581788960043566,QSO,-0.029495331455471563,0.0,2.8139101237414085E-5,46.10245084421498,,0.0,true,J125833.98+310727.7,194.641588,31.124362,17.482,17.191,16.854,16.365,0.017,0.021,0.04,0.036,433794295942,1,2010.2802,-1,0.058539,J125833.98+310727.7,194.641588,31.124362,17.482,17.191,16.854,16.365,0.017,0.021,0.04,0.036,433794295942,1,2010.2802,-1,0.058539,145341946416299832,194.64159478,31.12434579,0.013,0.007,90.0,436527256,52,56259.53940972,5,72,18.2101,0.0459,18.2973,0.0555,115000,18.0625,0.0081,18.1242,0.0146,115000,17.9244,0.0174,18.0489,0.0252,115000,17.896,0.0084,17.9846,0.0164,115000,17.8655,0.0094,17.9662,0.028,115000,0.003487,J125833.98+310727.7,194.6416024,31.1243617,0.0704,0.0672,10.1,15.136,13.877,10.353,8.083,,,,0.034,0.035,0.075,0.206,,,,1941131801351002673,0000,0,000n,AAAB,450,235,93,245,,0.059727,194.641657,31.124253,GALEX J125833.9+310727,6374891645370896645,6374891645367746560,AIS,194.913849,30.844027,105.05,194.75,102.0732,85.7116,50113,1665,52,0.364664,true,3,0.0142,0,0,19.9246,0.1606,19.4935,0.0687,1.1046,0.1606,-0.5865,0.0687,1.1553,0.1683,-0.5274,0.0682,1.1034,0.1717,-0.57,0.0747,0,0,0,0,38.9182,5.75574,57.8876,3.66319,2479.21,2587.84,2479.48,2587.77,2.826,3.89,0.001,0.002,0.9831,0.9921,0.1301,0.1496,46.72,52.58,-40.94,-41.01,3.02613,2.13064,3.5,8.48E-4,7.37E-4,3.5,7.22E-4,6.14E-4,167.8,106.4,0.733,0.47,0.49,0.72,0.57,0.09,0.08,C,0,1,6374891645370896384,6374891645370896645,0,1,6374891645370896384,6374891645370896645,6374891645370896645,N,0.0,0.389841
39628501799670456,195.127668955308,31.115598983629923,1.2549264878401745,QSO,0.030882632152605893,0.0,4.8263057134244705E-5,45.359481675914616,,0.0,true,J130030.63+310656.4,195.127645,31.115671,19.681,19.345,18.574,18.037,0.106,0.147,0.2,0.167,433794323780,1,2010.2802,-1,0.269687,J130030.63+310656.4,195.127645,31.115671,19.681,19.345,18.574,18.037,0.106,0.147,0.2,0.167,433794323780,1,2010.2802,-1,0.269687,145331951277659360,195.12767076,31.11559881,0.016,0.006,90.0,436527256,52,56241.43475694,5,47,20.3281,0.0246,20.3959,0.047,115000,20.0829,0.0292,20.227,0.0394,115000,19.9082,0.0101,20.0024,0.0224,115000,20.0394,0.0466,20.1316,0.0383,115000,19.8732,0.085,19.8884,0.0846,115000,0.005597,J130030.63+310656.2,195.1276649,31.1156237,0.1323,0.1198,17.1,16.128,14.787,11.199,8.81,,,,0.056,0.059,0.143,0.43,,,,1958131801351011502,0000,0,00nn,AABC,1114,456,440,493,,0.089887,195.127438,31.115898,GALEX J130030.5+310657,6374891645370896607,6374891645367746560,AIS,194.913849,30.844027,105.05,194.75,97.0547,85.5476,50113,1665,52,0.327792,true,3,0.0117,0,0,22.2468,0.4958,21.1477,0.1842,3.4268,0.4958,1.0677,0.1842,3.575,0.5683,1.1306,0.1659,4.3459,1.4546,1.187,0.2461,0,0,0,0,4.58451,2.09297,12.6158,2.14005,1479.17,2568.17,1481.38,2567.46,1.089,10.889,0.0,0.005,0.9785,0.8487,0.2309,0.039,65.15,70.19,-46.15,-46.09,9.02259,2.49567,3.5,8.64E-4,6.64E-4,3.5,3.62E-4,3.48E-4,168.1,102.1,0.00268,3.53,0.69,1.16,1.02,0.27,0.18,C,0,1,6374891645370896384,6374891645370896607,0,1,6374891645370896384,6374891645370896607,6374891645370896607,N,0.0,1.290836
39628501808057686,195.65201182339217,31.000859713393975,1.4522413934206648,QSO,-0.1244564315059547,0.0113075787182839,4.75021377695738E-5,45.15851527159403,,0.0,true,J130236.49+310003.2,195.652055,31.0009,20.222,19.43,18.635,17.81,0.174,0.148,0.193,0.13,433794278652,1,2010.2802,-2,0.197072,J130236.49+310003.2,195.652055,31.0009,20.222,19.43,18.635,17.81,0.174,0.148,0.193,0.13,433794278652,1,2010.2802,-2,0.197072,145201956520441612,195.65203018,31.00085331,0.022,0.011,90.0,436527232,52,56218.27378472,5,66,21.2089,0.0377,21.3532,0.0908,115000,20.8541,0.0391,20.9942,0.0548,115000,20.7122,0.039,20.6675,0.088,115000,20.7447,0.0559,20.7631,0.067,115000,20.0645,0.0294,20.0815,0.2411,115000,0.061155,J130236.47+310002.8,195.6519706,31.0007874,0.2366,0.2136,22.0,16.656,15.664,12.415,8.628,,,,0.085,0.117,0.368,,,,,1947130201351055091,0000,0,nnnn,ABCU,-1062,710,961,766,,0.289785,195.651896,31.00135,GALEX J130236.4+310004,6374891644295056746,6374891644294004736,AIS,195.92013,30.745424,106.0,106.0,91.3807,85.4224,50113,1633,51,0.344241,true,1,0.0111,0,0,,,21.9168,0.3901,,,1.8368,0.3901,,,1.8016,0.3594,,,1.695,0.5462,0,0,0,0,,,6.21289,2.23174,,,2528.83,2593.84,,8.07,,0.003,0.9809,0.0,0.2444,,33.63,31.4,,,8.06974,2.81563,3.5,6.47E-4,4.89E-4,,,,90.0,82.7,,,1.14,,,0.44,,C,0,1,6374891644295056384,6374891644295056746,0,1,6374891644295056384,6374891644295056746,6374891644295056746,N,0.0,1.801114
39628501816445353,196.1603532017987,31.06781627394649,0.688694258471139,QSO,0.07989394303268338,0.0048763979529163745,1.99330431191596E-5,44.47039973327288,,0.0,true,J130438.51+310404.0,196.16046,31.067804,19.781,19.11,18.533,17.415,0.12,0.114,0.184,0.095,433794312150,1,2010.2802,-1,0.33227,J130438.51+310404.0,196.16046,31.067804,19.781,19.11,18.533,17.415,0.12,0.114,0.184,0.095,433794312150,1,2010.2802,-1,0.33227,145281961604381943,196.16035705,31.06781483,0.017,0.013,0.0,436527248,52,56227.75293981,5,63,20.4642,0.0198,20.5487,0.0272,115000,20.4518,0.0182,20.4569,0.0328,115000,20.2539,0.0196,20.2879,0.0824,115000,20.0026,0.026,19.9984,0.0951,115000,19.5582,0.0697,19.2445,0.2675,16892216,0.012955,J130438.49+310404.2,196.1604017,31.0678539,0.1089,0.1027,14.6,15.783,14.669,11.604,8.614,,,,0.045,0.054,0.209,,,,,1958131801351003269,0000,0,11nn,AABU,86,360,69,381,,0.201845,196.160353,31.06796,GALEX J130438.4+310404,6374891644297154163,6374891644294004736,AIS,195.92013,30.745424,106.0,106.0,87.5131,85.118,50113,1633,51,0.382768,true,3,0.0108,0,0,22.2865,0.5221,22.0023,0.3869,3.4665,0.5221,1.9223,0.3869,3.5436,0.5606,1.9602,0.4006,4.6993,1.7782,2.2949,0.9181,0,0,0,0,4.41973,2.12501,5.74222,2.04567,1482.72,2753.53,1483.13,2753.32,3.283,7.187,0.001,0.003,0.9789,0.6765,0.0965,0.0171,-3.66,1.17,-42.9,-42.81,4.26941,0.875584,3.5,5.27E-4,4.76E-4,3.5,3.99E-4,3.92E-4,92.5,106.6,0.95,0.49,1.07,1.22,1.43,0.41,0.2,C,0,1,6374891644297154560,6374891644297154163,0,1,6374891644297154560,6374891644297154163,6374891644297154163,N,0.0,0.515863
39628501816446177,196.20048065903387,31.11963527899194,2.460095421810211,QSO,-0.04788927765330914,0.0,9.592878864788842E-5,46.09409413803188,,0.0,true,J130448.13+310710.7,196.200573,31.119655,18.394,18.167,17.637,16.847,0.036,0.049,0.081,0.057,433794312041,1,2010.2802,-1,0.293224,J130448.13+310710.7,196.200573,31.119655,18.394,18.167,17.637,16.847,0.036,0.049,0.081,0.057,433794312041,1,2010.2802,-1,0.293224,145341962005344146,196.20048007,31.11963486,0.02,0.019,90.0,436527256,52,56188.24591435,5,75,19.3167,0.029,19.3497,0.0336,115000,19.2418,0.0077,19.3276,0.019,115000,19.3115,0.0132,19.3638,0.0121,115000,19.1428,0.0173,19.2077,0.025,115000,18.8797,0.0288,18.9561,0.0401,115000,0.00236,J130448.11+310710.6,196.20048,31.1196367,0.1583,0.1444,21.7,16.323,15.101,11.699,8.681,,,,0.063,0.074,0.223,,,,,1958131801351003354,0000,0,00nn,AABU,-243,544,465,585,,0.00557,196.200696,31.119719,GALEX J130448.1+310710,6374891644295057481,6374891644294004736,AIS,195.92013,30.745424,106.0,106.0,87.5548,85.0558,50113,1633,51,0.444988,true,1,0.0107,0,0,,,21.5233,0.2971,,,1.4433,0.2971,,,1.5445,0.3061,,,1.6115,0.5008,0,0,0,0,,,8.92637,2.44225,,,1400.47,2877.72,,4.507,,0.002,0.982,0.0,0.0978,,-62.13,-51.68,,,8.355,4.77328,3.5,6.13E-4,5.53E-4,,,,92.8,102.7,,,0.93,,,0.35,,C,0,1,6374891644295057408,6374891644295057481,0,1,6374891644295057408,6374891644295057481,6374891644295057481,N,0.0,0.72743
39628501816447153,196.25829920341073,30.92123792338454,1.4931159002480738,QSO,-0.012400591416706352,0.01652235836811214,2.9568149157928825E-5,45.35821047035331,,0.0,true,J130501.99+305516.6,196.258298,30.92128,19.211,18.731,,17.623,0.074,0.083,,0.117,433794312471,1,2010.2802,1,0.151623,J130501.99+305516.6,196.258298,30.92128,19.211,18.731,,17.623,0.074,0.083,,0.117,433794312471,1,2010.2802,1,0.151623,145101962583216094,196.25829684,30.92123865,0.018,0.015,90.0,436527256,52,56169.96902778,5,56,19.8568,0.0188,19.9108,0.0136,115000,19.8009,0.0171,19.8945,0.0379,115000,19.5679,0.0262,19.703,0.0234,115000,19.6296,0.0245,19.6976,0.0475,115000,19.6211,0.0352,19.5203,0.1276,115000,0.007754,J130501.98+305516.3,196.2582649,30.9212189,0.1726,0.159,18.4,16.503,15.159,11.913,8.683,,,,0.069,0.079,0.249,,,,,1965130201351063224,0000,0,00nn,AABU,818,623,-519,670,,0.126205,196.258332,30.921139,GALEX J130501.9+305516,6374891644297153567,6374891644294004736,AIS,195.92013,30.745424,106.0,106.0,85.6614,85.182,50113,1633,51,0.339424,true,3,0.0097,0,0,21.5433,0.3617,20.8045,0.2295,2.7233,0.3617,0.7245,0.2295,2.7081,0.3566,0.8283,0.2011,2.8801,0.4752,0.7165,0.2522,0,0,0,0,8.76348,2.9184,17.3065,3.6579,1279.95,2401.23,1280.73,2401.41,3.472,7.141,0.001,0.003,0.9991,0.9372,0.0364,0.2613,-10.6,-13.11,16.1,16.24,5.4869,2.72429,4.18999,7.84E-4,7.55E-4,3.5,5.97E-4,4.41E-4,93.3,109.7,0.517,1.17,0.69,1.13,1.0,0.26,0.18,C,0,1,6374891644297153536,6374891644297153567,0,1,6374891644297153536,6374891644297153567,6374891644297153567,N,0.0,0.369224
39628501917109266,203.1631977561883,31.01040142068851,1.4581738106494322,QSO,0.016499325343214633,0.0,4.9499001603255304E-5,45.20942867974026,,0.0,true,J133239.15+310037.4,203.163154,31.010414,19.144,18.768,17.952,17.302,0.055,0.06,0.075,0.077,433794302669,1,2010.144,1,0.142737,J133239.15+310037.4,203.163154,31.010414,19.144,18.768,17.952,17.302,0.055,0.06,0.075,0.077,433794302669,1,2010.144,1,0.142737,145212031631713049,203.16318993,31.01040486,0.043,0.04,90.0,436527256,52,56179.13726852,5,68,20.2249,0.0227,20.2825,0.031,115000,19.9456,0.0269,20.0945,0.0571,115000,19.7712,0.0211,19.87,0.0308,115000,19.7704,0.0208,19.8528,0.0343,115000,19.6321,0.0465,19.7657,0.1131,115000,0.027137,J133239.16+310037.3,203.163178,31.0103687,0.1312,0.1212,9.1,16.068,14.827,11.961,9.013,,,,0.054,0.06,0.29,,,,,2034130201351062387,0000,0,11nn,AABU,421,436,-615,476,,0.132664,203.163085,31.010417,GALEX J133239.1+310037,6379324881620701602,6379324881619648512,AIS,203.162704,30.576283,144.0,144.0,58.7011,80.1988,50239,1825,57,0.434133,true,1,0.0132,0,0,,,21.502,0.3027,,,1.422,0.3027,,,1.5402,0.2446,,,1.3172,0.3148,0,0,0,0,,,9.10361,2.5377,,,1929.39,3014.37,,10.51,,0.004,0.9742,0.0,0.4403,,-84.57,-84.95,,,4.08408,14.598,4.24701,9.77E-4,5.47E-4,,,,128.9,112.6,,,0.98,,,0.37,,C,1,2,6379324881620701184,6379324881620701602+6379324871957020869,1,2,6379324881620701184,6379324881620701602+6379324871957020869,6379324881620701602+6379324871957020869,N,0.0,0.352718
