target,RA,DEC,gmag_AB,mag_to_enter,t_spec_snr10_s,t_img_snr10_s,t_spec_snr10_p1_s,t_img_snr10_p1_s,n_exp_img_snr10_p1,t_spec_snr10_p10_s,t_img_snr10_p10_s,n_exp_img_snr10_p10,t_spec_snr5_s,t_img_snr5_s,t_spec_snr5_p1_s,t_img_snr5_p1_s,n_exp_img_snr5_p1,t_spec_snr5_p10_s,t_img_snr5_p10_s,n_exp_img_snr5_p10
J204626.10+002337.6,311.608778,0.393795,18.988,19.74,2256.690043981372,2351.290736879926,225669.00439813721,235129.0736879926,131,22566.90043981372,23512.90736879926,14,774.4707973052549,610.2148861926001,77447.07973052548,61021.48861926002,34,7744.707973052548,6102.148861926001,4
J150746.11+093731.2,226.942139,9.625342,19.129,19.88,2702.9820412099216,2915.347558883294,270298.20412099216,291534.7558883294,162,27029.820412099216,29153.47558883294,17,909.7705047896692,752.3865721525453,90977.05047896692,75238.65721525453,42,9097.705047896692,7523.865721525453,5
TARGETID_39628512285426154,204.61249676144203,31.488779145548964,19.4,20.15,4344.9438372296045,4460.073093604615,434494.3837229604,446007.3093604615,248,43449.43837229604,44600.730936046144,25,1292.6261850187075,1140.6419745081325,129262.61850187075,114064.19745081326,64,12926.261850187075,11406.419745081324,7
TARGETID_39633384095352378,189.1165616120524,59.693368788822525,19.402,20.15,4344.9438372296045,4460.073093604615,434494.3837229604,446007.3093604615,248,43449.43837229604,44600.730936046144,25,1292.6261850187075,1140.6419745081325,129262.61850187075,114064.19745081326,64,12926.261850187075,11406.419745081324,7
J150356.69+125914.3,225.986245,12.987307,19.455,20.21,4759.9293883817745,4910.629370339586,475992.9388381774,491062.93703395856,273,47599.29388381774,49106.29370339586,28,1403.1547727323443,1253.709817661591,140315.47727323443,125370.9817661591,70,14031.547727323443,12537.09817661591,7
J144809.53+054019.2,222.039727,5.672016,19.48,20.23,4907.859323502633,5071.407005631245,490785.9323502633,507140.7005631245,282,49078.593235026325,50714.07005631245,29,1442.392961724594,1294.0444054532472,144239.2961724594,129404.44054532472,72,14423.92961724594,12940.444054532472,8
TARGETID_39628516710418961,153.7624460311702,31.70554122193904,19.722,20.47,6165.249760671211,7501.985808338275,616524.9760671211,750198.5808338275,417,61652.49760671211,75019.85808338274,42,1888.9614245055293,1903.2604898308525,188896.14245055293,190326.04898308526,106,18889.61424505529,19032.604898308524,11
J150357.14+041856.3,225.98811,4.315645,19.742,20.49,6348.9504044166615,7753.875056240305,634895.0404416661,775387.5056240305,431,63489.50404416661,77538.75056240305,44,1939.0982857483552,1966.3544059961455,193909.82857483553,196635.44059961455,110,19390.982857483552,19663.544059961452,11
J141354.73+110047.5r,213.478071,11.013204,19.844,20.6,7475.269241028389,9307.630324687434,747526.9241028388,930763.0324687434,518,74752.69241028388,93076.30324687433,52,2243.97486626212,2355.4362409771597,224397.486626212,235543.62409771598,131,22439.748662621198,23554.362409771595,14
J152259.51+032347.6r,230.747969,3.396561,19.881,20.63,7819.8566885346245,9785.767209820839,781985.6688534624,978576.7209820838,544,78198.56688534624,97857.67209820838,55,2336.4956189031595,2475.138280679537,233649.56189031596,247513.82806795367,138,23364.956189031593,24751.382806795365,14
