ra,dec,designation,umag,gmag,rmag,imag,zmag,jmag,hmag,kmag,w1mag,w2mag,w3mag,w4mag,FIRST_peak,FIRST_int,VLASS_peak,VLASS_int,zsp,spCl,broad,src,ebv
1.562610,1.191588,J000615.02+011129.7,18.627,18.071,17.49,17.072,16.9,16.265,15.319,14.604,14.025,13.309,10.13,7.168,0.0,0.0,0.00,0.00,0.114,QSO,2472.3,Alp,0.186
1.791729,0.891393,J000710.01+005329.0,17.589,17.26,16.93,16.985,16.267,15.986,15.166,14.361,13.036,11.912,8.898,6.056,1.55,1.44,0.00,0.00,0.316,QSO,8236.8,Alp,0.073
2.055112,-0.964816,J000813.22-005753.3,18.103,17.477,16.883,16.423,16.245,15.469,14.57,13.912,13.068,12.374,9.458,7.245,1.05,2.74,0.00,0.00,0.139,QSO,5526.7,Alp-gal,-0.011
3.363827,0.875578,J001327.31+005232.0,18.084,17.767,17.554,17.603,17.076,16.213,15.501,14.343,12.951,11.849,8.907,6.328,0.0,0.0,0.00,0.00,0.362,QSO,2536.7,Alp,0.046
5.420922,0.644911,J002141.02+003841.6,18.968,18.643,18.04,17.746,17.355,16.512,15.653,14.651,13.998,13.337,10.366,8.204,1.72,1.38,0.64,0.97,0.308,QSO,2669.6,Alp,0.492
6.183815,0.539246,J002444.11+003221.2,17.293,17.032,17.055,17.024,16.581,15.863,15.236,14.377,12.678,11.603,9.258,7.014,0.0,0.0,0.00,0.00,0.402,QSO,8770.2,B,0.021
6.968331,0.437697,J002752.39+002615.7,18.793,18.446,18.09,17.668,17.705,16.455,15.396,14.623,13.02,12.048,9.042,6.663,0.0,0.0,0.00,0.00,0.205,QSO,3098.9,Alp,0.152
7.132067,-0.070297,J002831.69-000413.0,18.469,18.107,17.706,17.389,17.14,15.964,15.104,14.135,12.466,11.555,8.854,6.54,1.33,2.41,1.51,2.16,0.252,QSO,5695.8,Alp,0.142
7.946748,-0.733125,J003147.21-004359.2,18.892,17.348,16.474,15.953,15.58,15.499,14.7,14.237,13.216,12.682,9.885,8.197,0.0,0.0,0.00,0.00,0.067,QSO,2373.4,Alp-gal,-0.013
8.159158,-1.009799,J003238.19-010035.2,18.247,17.578,17.141,16.758,16.617,15.802,15.124,14.344,13.408,12.613,9.19,6.783,0.0,0.0,0.00,0.00,0.092,QSO,1708.5,B-gal,-0.202
8.366879,-0.320242,J003328.05-001912.8,18.359,17.37,16.54,16.014,15.797,15.292,14.552,13.917,12.721,11.961,9.411,7.067,1.02,0.89,2.02,1.97,0.107,QSO,5415.1,B-gal,0.008
9.249101,1.095662,J003659.78+010544.3,18.602,18.19,17.683,17.195,17.02,15.996,15.179,14.451,13.572,12.817,10.017,8.154,0.0,0.0,0.00,0.00,0.121,QSO,2774.5,Alp,0.161
9.249272,-1.225713,J003659.82-011332.5,22.615,21.288,20.191,19.659,18.47,16.569,15.105,13.63,11.673,10.507,7.881,5.212,1.92,0.82,2.77,2.57,0.294,redQSO,2209.6,B-F2M,0.789
